teta V2O5,intensidad V2O5,teta V3O8,intensidad V3O8,teta VO2,intensidad VO2,teta V2O3,intensidad V2O3,teta V2O5-H,intensidad  V2O5-H,teta Si,intensidad Si
85.279,0.019,70.291,0.002,97.501,0.026,,,84.695,0.007,,
85.883,0.002,70.378,0.015,,,,,84.898,0.013,,
86.27,0.002,70.75,0.005,,,,,85.004,0.001,,
86.395,0.022,71.616,0.015,,,,,85.236,0.002,,
,,72.877,0.049,,,,,,,,
,,73.184,0.03,,,,,,,,
,,73.65,0.001,,,,,,,,
,,74.109,0.001,,,,,,,,
,,74.603,0.003,,,,,,,,
,,74.928,0.003,,,,,,,,
,,74.981,0.004,,,,,,,,
,,75.099,0.005,,,,,,,,
,,75.342,0.003,,,,,,,,
,,75.409,0.004,,,,,,,,
,,77.496,0.004,,,,,,,,
,,77.617,0.016,,,,,,,,
,,77.746,0.018,,,,,,,,
,,78.238,0.015,,,,,,,,
,,78.638,0.003,,,,,,,,
,,79.277,0.002,,,,,,,,
,,79.727,0.032,,,,,,,,
,,79.959,0.012,,,,,,,,
,,79.971,0.017,,,,,,,,
,,80.104,0.002,,,,,,,,
,,80.767,0.008,,,,,,,,
,,81.087,0.004,,,,,,,,
,,81.236,0.056,,,,,,,,
,,81.273,0.02,,,,,,,,
,,81.391,0.002,,,,,,,,
,,81.588,0.002,,,,,,,,
,,81.809,0.007,,,,,,,,
,,82.385,0.001,,,,,,,,
,,82.441,0.024,,,,,,,,
,,83.789,0.007,,,,,,,,
,,85.001,0.015,,,,,,,,
,,85.492,0.003,,,,,,,,
,,85.876,0.011,,,,,,,,
,,86.889,0.02,,,,,,,,
,,87.098,0.033,,,,,,,,
,,87.163,0.005,,,,,,,,
,,88.531,0.002,,,,,,,,
